Name,d,b,tw,bf,tf,tb,t,r
W44X335,44.1,null,1.03,15.9,1.77,null,null,0.787
W44X290,43.7,null,0.866,15.8,1.58,null,null,0.78
W44X262,43.3,null,0.783,15.8,1.42,null,null,0.78
W44X230,42.9,null,0.709,15.8,1.22,null,null,0.791
W40X655,43.7,null,1.97,16.9,3.54,null,null,1.19
W40X593,42.9,null,1.79,16.7,3.23,null,null,1.18
W40X503,42.1,null,1.54,16.4,2.76,null,null,1.18
W40X431,41.3,null,1.34,16.2,2.36,null,null,1.18
W40X397,40.9,null,1.22,16.1,2.2,null,null,1.18
W40X372,40.6,null,1.16,16.1,2.05,null,null,1.18
W40X362,40.6,null,1.12,16,2.01,null,null,1.18
W40X324,40.2,null,1,15.9,1.81,null,null,1.18
W40X297,39.8,null,0.929,15.8,1.65,null,null,1.18
W40X277,39.8,null,0.831,15.8,1.58,null,null,1.18
W40X249,39.4,null,0.752,15.8,1.42,null,null,1.18
W40X215,39,null,0.65,15.8,1.22,null,null,1.18
W40X199,38.7,null,0.65,15.8,1.07,null,null,1.18
W40X392,41.7,null,1.42,12.4,2.52,null,null,1.18
W40X331,40.9,null,1.22,12.2,2.13,null,null,1.18
W40X327,40.9,null,1.18,12.1,2.13,null,null,1.18
W40X294,40.6,null,1.06,12,1.93,null,null,1.18
W40X278,40.2,null,1.03,12,1.81,null,null,1.18
W40X264,40.2,null,0.961,11.9,1.73,null,null,1.18
W40X235,39.8,null,0.831,11.9,1.58,null,null,1.18
W40X211,39.4,null,0.752,11.8,1.42,null,null,1.18
W40X183,39,null,0.65,11.8,1.2,null,null,1.18
W40X167,38.6,null,0.65,11.8,1.03,null,null,1.18
W40X149,38.2,null,0.63,11.8,0.831,null,null,1.18
W36X925,42.9,null,3.02,18.6,4.53,null,null,0.748
W36X853,42.9,null,2.52,18.2,4.53,null,null,0.748
W36X802,42.5,null,2.38,18,4.29,null,null,0.748
W36X723,41.7,null,2.17,17.8,3.9,null,null,0.744
W36X652,40.9,null,1.97,17.6,3.54,null,null,0.949
W36X529,39.8,null,1.61,17.2,2.91,null,null,0.949
W36X487,39.3,null,1.5,17.1,2.68,null,null,0.949
W36X441,38.9,null,1.36,17,2.44,null,null,0.949
W36X395,38.4,null,1.22,16.8,2.2,null,null,0.949
W36X361,38,null,1.12,16.7,2.01,null,null,0.949
W36X330,37.7,null,1.02,16.6,1.85,null,null,0.949
W36X302,37.3,null,0.945,16.7,1.68,null,null,0.949
W36X282,37.1,null,0.886,16.6,1.57,null,null,0.949
W36X262,36.9,null,0.839,16.6,1.44,null,null,0.949
W36X247,36.7,null,0.799,16.5,1.35,null,null,0.949
W36X231,36.5,null,0.76,16.5,1.26,null,null,0.949
W36X256,37.4,null,0.961,12.2,1.73,null,null,0.752
W36X232,37.1,null,0.87,12.1,1.57,null,null,0.748
W36X210,36.7,null,0.831,12.2,1.36,null,null,0.752
W36X194,36.5,null,0.764,12.1,1.26,null,null,0.752
W36X182,36.3,null,0.724,12.1,1.18,null,null,0.748
W36X170,36.2,null,0.681,12,1.1,null,null,0.752
W36X160,36,null,0.65,12,1.02,null,null,0.752
W36X150,35.9,null,0.626,12,0.941,null,null,0.748
W36X135,35.6,null,0.598,12,0.791,null,null,0.748
W33X387,36,null,1.26,16.2,2.28,null,null,0.791
W33X354,35.6,null,1.16,16.1,2.09,null,null,0.791
W33X318,35.2,null,1.04,16,1.89,null,null,0.791
W33X291,34.8,null,0.961,15.9,1.73,null,null,0.791
W33X263,34.5,null,0.87,15.8,1.57,null,null,0.787
W33X241,34.2,null,0.831,15.9,1.4,null,null,0.787
W33X221,33.9,null,0.776,15.8,1.28,null,null,0.78
W33X201,33.7,null,0.717,15.7,1.15,null,null,0.791
W33X169,33.8,null,0.669,11.5,1.22,null,null,0.701
W33X152,33.5,null,0.634,11.6,1.06,null,null,0.701
W33X141,33.3,null,0.606,11.5,0.961,null,null,0.701
W33X130,33.1,null,0.579,11.5,0.854,null,null,0.705
W33X118,32.9,null,0.551,11.5,0.74,null,null,0.701
W30X391,33.2,null,1.36,15.6,2.44,null,null,0.787
W30X357,32.8,null,1.24,15.5,2.24,null,null,0.791
W30X326,32.4,null,1.14,15.4,2.05,null,null,0.787
W30X292,32,null,1.02,15.3,1.85,null,null,0.791
W30X261,31.6,null,0.929,15.2,1.65,null,null,0.791
W30X235,31.3,null,0.831,15.1,1.5,null,null,0.791
W30X211,30.9,null,0.776,15.1,1.32,null,null,0.78
W30X191,30.7,null,0.709,15,1.19,null,null,0.78
W30X173,30.4,null,0.654,15,1.07,null,null,0.78
W30X148,30.7,null,0.65,10.5,1.18,null,null,0.65
W30X132,30.3,null,0.614,10.5,1,null,null,0.65
W30X124,30.2,null,0.587,10.5,0.929,null,null,0.65
W30X116,30,null,0.567,10.5,0.85,null,null,0.65
W30X108,29.8,null,0.543,10.5,0.76,null,null,0.65
W30X99,29.7,null,0.52,10.5,0.669,null,null,0.65
W30X90,29.5,null,0.469,10.4,0.61,null,null,0.65
W27X539,32.5,null,1.97,15.3,3.54,null,null,0.791
W27X368,30.4,null,1.38,14.7,2.48,null,null,0.791
W27X336,30,null,1.26,14.6,2.28,null,null,0.791
W27X307,29.6,null,1.16,14.4,2.09,null,null,0.791
W27X281,29.3,null,1.06,14.4,1.93,null,null,0.791
W27X258,29,null,0.98,14.3,1.77,null,null,0.787
W27X235,28.7,null,0.909,14.2,1.61,null,null,0.791
W27X217,28.4,null,0.831,14.1,1.5,null,null,0.791
W27X194,28.1,null,0.752,14,1.34,null,null,0.791
W27X178,27.8,null,0.724,14.1,1.19,null,null,0.791
W27X161,27.6,null,0.661,14,1.08,null,null,0.791
W27X146,27.4,null,0.606,14,0.976,null,null,0.783
W27X129,27.6,null,0.61,10,1.1,null,null,0.602
W27X114,27.3,null,0.571,10.1,0.929,null,null,0.602
W27X102,27.1,null,0.516,10,0.831,null,null,0.598
W27X94,26.9,null,0.488,10,0.744,null,null,0.594
W27X84,26.7,null,0.461,10,0.642,null,null,0.598
W24X370,28,null,1.52,13.7,2.72,null,null,0.5
W24X335,27.5,null,1.38,13.5,2.48,null,null,0.5
W24X306,27.1,null,1.26,13.4,2.28,null,null,0.5
W24X279,26.7,null,1.16,13.3,2.09,null,null,0.5
W24X250,26.3,null,1.04,13.2,1.89,null,null,0.5
W24X229,26,null,0.961,13.1,1.73,null,null,0.5
W24X207,25.7,null,0.87,13,1.57,null,null,0.5
W24X192,25.5,null,0.811,13,1.46,null,null,0.5
W24X176,25.2,null,0.752,12.9,1.34,null,null,0.5
W24X162,25,null,0.705,13,1.22,null,null,0.5
W24X146,24.7,null,0.65,12.9,1.09,null,null,0.5
W24X131,24.5,null,0.606,12.9,0.961,null,null,0.5
W24X117,24.3,null,0.551,12.8,0.85,null,null,0.5
W24X104,24.1,null,0.5,12.8,0.752,null,null,0.5
W24X103,24.5,null,0.551,9.02,0.98,null,null,0.5
W24X94,24.3,null,0.516,9.06,0.874,null,null,0.508
W24X84,24.1,null,0.469,9.02,0.772,null,null,0.5
W24X76,23.9,null,0.441,8.98,0.681,null,null,0.5
W24X68,23.7,null,0.413,8.98,0.587,null,null,0.504
W24X62,23.7,null,0.429,7.05,0.591,null,null,0.5
W24X55,23.6,null,0.394,7.01,0.504,null,null,0.508
W21X275,24.1,null,1.22,12.9,2.19,null,null,1.18
W21X248,23.7,null,1.1,12.8,1.99,null,null,1.18
W21X223,23.4,null,1,12.7,1.79,null,null,1.18
W21X201,23,null,0.909,12.6,1.63,null,null,0.5
W21X182,22.7,null,0.831,12.5,1.48,null,null,0.5
W21X166,22.5,null,0.752,12.4,1.36,null,null,0.5
W21X147,22.1,null,0.72,12.5,1.15,null,null,0.5
W21X132,21.8,null,0.65,12.4,1.04,null,null,0.5
W21X122,21.7,null,0.598,12.4,0.961,null,null,0.5
W21X111,21.5,null,0.551,12.3,0.874,null,null,0.508
W21X101,21.4,null,0.5,12.3,0.799,null,null,0.5
W21X93,21.6,null,0.579,8.43,0.929,null,null,0.5
W21X83,21.4,null,0.516,8.35,0.835,null,null,0.504
W21X73,21.2,null,0.457,8.31,0.74,null,null,0.5
W21X68,21.1,null,0.429,8.27,0.685,null,null,0.504
