Name,d,b,tw,bf,tf,tb,t,r
W1100X499,1120,null,26.2,404,45,null,null,20
W1100X433,1110,null,22,401,40.1,null,null,19.8
W1100X390,1100,null,19.9,401,36.1,null,null,19.8
W1100X343,1090,null,18,401,31,null,null,20.1
W1000X976,1110,null,50,429,89.9,null,null,30.1
W1000X883,1090,null,45.5,424,82,null,null,30
W1000X748,1070,null,39.1,417,70.1,null,null,29.9
W1000X642,1050,null,34,411,59.9,null,null,30
W1000X591,1040,null,31,409,55.9,null,null,30
W1000X554,1030,null,29.5,409,52.1,null,null,29.9
W1000X539,1030,null,28.4,406,51.1,null,null,29.9
W1000X483,1020,null,25.4,404,46,null,null,29.9
W1000X443,1010,null,23.6,401,41.9,null,null,30
W1000X412,1010,null,21.1,401,40.1,null,null,30
W1000X371,1000,null,19.1,401,36.1,null,null,29.9
W1000X321,991,null,16.5,401,31,null,null,30
W1000X296,983,null,16.5,401,27.2,null,null,30
W1000X584,1060,null,36.1,315,64,null,null,30
W1000X494,1040,null,31,310,54.1,null,null,30
W1000X486,1040,null,30,307,54.1,null,null,30
W1000X438,1030,null,26.9,305,49,null,null,30
W1000X415,1020,null,26.2,305,46,null,null,29.9
W1000X393,1020,null,24.4,302,43.9,null,null,30
W1000X350,1010,null,21.1,302,40.1,null,null,30
W1000X314,1000,null,19.1,300,36.1,null,null,29.9
W1000X272,991,null,16.5,300,30.5,null,null,30
W1000X249,980,null,16.5,300,26.2,null,null,29.9
W1000X222,970,null,16,300,21.1,null,null,30
W920X1377,1090,null,76.7,472,115,null,null,19
W920X1269,1090,null,64,462,115,null,null,19
W920X1194,1080,null,60.5,457,109,null,null,19
W920X1077,1060,null,55.1,452,99.1,null,null,18.9
W920X970,1040,null,50,447,89.9,null,null,24.1
W920X787,1010,null,40.9,437,73.9,null,null,24.1
W920X725,998,null,38.1,434,68.1,null,null,24.1
W920X656,988,null,34.5,432,62,null,null,24.1
W920X588,975,null,31,427,55.9,null,null,24.1
W920X537,965,null,28.4,424,51.1,null,null,24.1
W920X491,958,null,25.9,422,47,null,null,24.1
W920X449,947,null,24,424,42.7,null,null,24.1
W920X420,942,null,22.5,422,39.9,null,null,24.1
W920X390,937,null,21.3,422,36.6,null,null,24.1
W920X368,932,null,20.3,419,34.3,null,null,24.1
W920X344,927,null,19.3,419,32,null,null,24.1
W920X381,951,null,24.4,310,43.9,null,null,19.1
W920X345,943,null,22.1,307,39.9,null,null,19
W920X313,932,null,21.1,310,34.5,null,null,19.1
W920X289,927,null,19.4,307,32,null,null,19.1
W920X271,922,null,18.4,307,30,null,null,19
W920X253,919,null,17.3,305,27.9,null,null,19.1
W920X238,914,null,16.5,305,25.9,null,null,19.1
W920X223,912,null,15.9,305,23.9,null,null,19
W920X201,904,null,15.2,305,20.1,null,null,19
W840X576,914,null,32,411,57.9,null,null,20.1
W840X527,904,null,29.5,409,53.1,null,null,20.1
W840X473,894,null,26.4,406,48,null,null,20.1
W840X433,884,null,24.4,404,43.9,null,null,20.1
W840X392,876,null,22.1,401,39.9,null,null,20
W840X359,869,null,21.1,404,35.6,null,null,20
W840X329,861,null,19.7,401,32.5,null,null,19.8
W840X299,856,null,18.2,399,29.2,null,null,20.1
W840X251,859,null,17,292,31,null,null,17.8
W840X226,851,null,16.1,295,26.9,null,null,17.8
W840X210,846,null,15.4,292,24.4,null,null,17.8
W840X193,841,null,14.7,292,21.7,null,null,17.9
W840X176,836,null,14,292,18.8,null,null,17.8
W760X582,843,null,34.5,396,62,null,null,20
W760X531,833,null,31.5,394,56.9,null,null,20.1
W760X484,823,null,29,391,52.1,null,null,20
W760X434,813,null,25.9,389,47,null,null,20.1
W760X389,803,null,23.6,386,41.9,null,null,20.1
