Name,A,J,Ixp,Iyp,Iw,Sxp,Syp
W1100X499,63500,31100000,12900000000,499000000,144000000000000,23100000,2460000
W1100X433,55100,21200000,11200000000,433000000,124000000000000,20300000,2160000
W1100X390,49800,15500000,10000000000,384000000,109000000000000,18200000,1920000
W1100X343,43700,10400000,8660000000,331000000,92900000000000,15900000,1660000
W1000X976,125000,245000000,23500000000,1190000000,309000000000000,42500000,5570000
W1000X883,112000,185000000,21000000000,1050000000,268000000000000,38300000,4950000
W1000X748,95500,115000000,17300000000,849000000,212000000000000,32400000,4080000
W1000X642,81900,73700000,14500000000,703000000,171000000000000,27700000,3410000
W1000X591,75500,59100000,13300000000,641000000,155000000000000,25600000,3130000
W1000X554,71000,48300000,12300000000,591000000,142000000000000,23900000,2900000
W1000X539,68400,45400000,12000000000,574000000,138000000000000,23300000,2830000
W1000X483,61500,33000000,10700000000,508000000,120000000000000,21000000,2510000
W1000X443,56300,25500000,9660000000,454000000,107000000000000,19200000,2260000
W1000X412,52600,21400000,9120000000,433000000,102000000000000,18000000,2160000
W1000X371,47400,15900000,8160000000,385000000,89700000000000,16300000,1930000
W1000X321,41000,10300000,6950000000,334000000,76300000000000,14100000,1660000
W1000X296,37900,7620000,6200000000,289000000,66100000000000,12600000,1450000
W1000X584,74800,71600000,12400000000,334000000,82200000000000,23600000,2130000
W1000X494,63000,43700000,10300000000,268000000,64700000000000,19800000,1740000
W1000X486,61900,42900000,10200000000,266000000,64200000000000,19700000,1720000
W1000X438,55600,31900000,9120000000,234000000,55900000000000,17700000,1530000
W1000X415,53100,27100000,8530000000,217000000,51600000000000,16700000,1430000
W1000X393,49900,23400000,8070000000,205000000,48600000000000,15900000,1350000
W1000X350,44600,17200000,7240000000,185000000,43200000000000,14300000,1220000
W1000X314,40100,12700000,6450000000,162000000,37900000000000,12900000,1080000
W1000X272,34400,8030000,5490000000,138000000,31700000000000,11100000,918000
W1000X249,31800,5830000,4830000000,118000000,26800000000000,9830000,785000
W1000X222,28300,3900000,4080000000,95300000,21500000000000,8410000,636000
W920X1377,175000,595000000,30400000000,2060000000,494000000000000,55600000,8700000
W920X1269,162000,516000000,29100000000,1910000000,459000000000000,53300000,8280000
W920X1194,152000,437000000,27000000000,1750000000,414000000000000,49800000,7670000
W920X1077,137000,327000000,23800000000,1540000000,357000000000000,44900000,6820000
W920X970,124000,247000000,21100000000,1340000000,303000000000000,40300000,6010000
W920X787,101000,136000000,16500000000,1040000000,227000000000000,32600000,4740000
W920X725,92300,107000000,15000000000,937000000,202000000000000,30000000,4310000
W920X656,83900,80700000,13400000000,828000000,178000000000000,27000000,3850000
W920X588,74800,59100000,11900000000,728000000,154000000000000,24400000,3410000
W920X537,68400,45400000,10700000000,653000000,137000000000000,22100000,3080000
W920X491,62500,35100000,9700000000,591000000,122000000000000,20300000,2800000
W920X449,57400,26800000,8780000000,541000000,111000000000000,18500000,2560000
W920X420,53500,21900000,8160000000,499000000,102000000000000,17200000,2360000
W920X390,49800,17300000,7450000000,454000000,91800000000000,15900000,2160000
W920X368,46800,14400000,6950000000,420000000,84900000000000,15000000,2020000
W920X344,44000,11900000,6490000000,391000000,78400000000000,14000000,1870000
W920X381,48600,22000000,6990000000,220000000,45100000000000,14700000,1420000
W920X345,43900,16500000,6240000000,195000000,39700000000000,13300000,1270000
