Shape,Type,AISC_Manual_Label,AISC_Manual_Label,T_F,W,A,D,DDET,HT,H,OD,BF,BFDET,BHSS,B,ID,TW,TWDET,TWDET_2,TF,TFDET,TH,TNOM,TDES,KDES,KDET,K1,X,Y,EO,XP,YP,BF_2TF,B_T,B_TDES,H_TW,H_TDES,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,IZ,RZ,SZ,J,CW,C,WNO,SW1,SW2,SW3,QF,QW,RO,HFC,TAN(?),IW,ZA,ZB,ZC,WA,WB,WC,SWA,SWB,SWC,SZA,SZB,SZC,RTS,HO,PA,PA2,PB,PC,PD,T,WGI,WGO
I,W,W44X335,W1100X499,F,499,63500,1120,1120,0,0,0,404,406,0,0,0,26.2,25.4,12.7,45,44.4,0,0,0,65,76.2,44.5,0,0,0,0,0,4.5,0,0,38,0,0,12900000000,26500000,23100000,452,499000000,3870000,2460000,88.6,0,0,0,31100000,144000000000000,0,108000,491000000,0,0,4560000,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1070,3350,0,3760,2640,3050,965,140,0
I,W,W44X290,W1100X433,F,433,55100,1110,1110,0,0,0,401,403,0,0,0,22,22.2,11.1,40.1,39.7,0,0,0,59.9,71.4,41.3,0,0,0,0,0,5.02,0,0,45,0,0,11200000000,23100000,20300000,452,433000000,3360000,2160000,88.6,0,0,0,21200000,124000000000000,0,107000,433000000,0,0,4060000,11500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1070,3330,0,3730,2620,3020,965,140,0
I,W,W44X262,W1100X390,F,390,49800,1100,1100,0,0,0,401,400,0,0,0,19.9,20.6,11.1,36.1,36.5,0,0,0,55.9,66.7,41.3,0,0,0,0,0,5.57,0,0,49.6,0,0,10000000000,20800000,18200000,450,384000000,2980000,1920000,88.1,0,0,0,15500000,109000000000000,0,106000,386000000,0,0,3650000,10300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1060,3330,0,3730,2590,3000,965,140,0
I,W,W44X230,W1100X343,F,343,43700,1090,1090,0,0,0,401,400,0,0,0,18,17.5,9.52,31,31.8,0,0,0,51.1,61.9,39.7,0,0,0,0,0,6.45,0,0,54.8,0,0,8660000000,18000000,15900000,445,331000000,2570000,1660000,87.1,0,0,0,10400000,92900000000000,0,106000,330000000,0,0,3150000,8960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1060,3300,0,3710,2590,3000,965,140,0
I,W,W40X655,W1000X976,T,975,125000,1110,1110,0,0,0,429,429,0,0,0,50,50.8,25.4,89.9,90.5,0,0,0,120,122,55.6,0,0,0,0,0,2.39,0,0,17.3,0,0,23500000000,50500000,42500000,434,1190000000,8880000,5570000,98,0,0,0,245000000,309000000000000,0,109000,1050000000,0,0,8670000,25100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1020,3350,0,3780,2640,3070,864,191,0
I,W,W40X593,W1000X883,T,883,112000,1090,1090,0,0,0,424,425,0,0,0,45.5,46,23.8,82,82.6,0,0,0,112,114,54,0,0,0,0,0,2.58,0,0,19.1,0,0,21000000000,45200000,38300000,432,1050000000,7880000,4950000,96.5,0,0,0,185000000,268000000000000,0,107000,932000000,0,0,7850000,22500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1010,3300,0,3730,2620,3050,864,191,0
I,W,W40X503,W1000X748,T,748,95500,1070,1070,0,0,0,417,416,0,0,0,39.1,39.7,20.6,70.1,69.8,0,0,0,100,102,50.8,0,0,0,0,0,2.98,0,0,22.3,0,0,17300000000,38000000,32400000,427,849000000,6460000,4080000,94.5,0,0,0,115000000,212000000000000,0,104000,762000000,0,0,6600000,18800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,998,3280,0,3680,2570,2970,864,191,0
I,W,W40X431,W1000X642,T,642,81900,1050,1050,0,0,0,411,413,0,0,0,34,33.3,17.5,59.9,60.3,0,0,0,89.9,92.1,47.6,0,0,0,0,0,3.44,0,0,25.5,0,0,14500000000,32100000,27700000,422,703000000,5370000,3410000,92.7,0,0,0,73700000,171000000000000,0,102000,629000000,0,0,5590000,15900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,988,3230,0,3630,2510,2920,864,191,0
I,W,W40X397,W1000X591,T,591,75500,1040,1040,0,0,0,409,410,0,0,0,31,31.8,15.9,55.9,55.6,0,0,0,85.9,88.9,46,0,0,0,0,0,3.66,0,0,28,0,0,13300000000,29500000,25600000,422,641000000,4920000,3130000,92.5,0,0,0,59100000,155000000000000,0,101000,574000000,0,0,5210000,14600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,986,3200,0,3610,2490,2900,864,191,0
I,W,W40X372,W1000X554,T,554,71000,1030,1030,0,0,0,409,410,0,0,0,29.5,30.2,15.9,52.1,52.4,0,0,0,82,84.1,46,0,0,0,0,0,3.93,0,0,29.5,0,0,12300000000,27500000,23900000,419,591000000,4540000,2900000,91.4,0,0,0,48300000,142000000000000,0,100000,533000000,0,0,4830000,13600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,980,3180,0,3580,2470,2870,864,191,0
I,W,W40X362,W1000X539,T,539,68400,1030,1030,0,0,0,406,406,0,0,0,28.4,28.6,14.3,51.1,50.8,0,0,0,81,82.6,44.5,0,0,0,0,0,3.99,0,0,30.5,0,0,12000000000,26900000,23300000,419,574000000,4420000,2830000,91.4,0,0,0,45400000,138000000000000,0,99400,516000000,0,0,4740000,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,980,3180,0,3580,2470,2870,864,191,0
I,W,W40X324,W1000X483,F,483,61500,1020,1020,0,0,0,404,403,0,0,0,25.4,25.4,12.7,46,46,0,0,0,75.9,77.8,42.9,0,0,0,0,0,4.4,0,0,34.2,0,0,10700000000,23900000,21000000,417,508000000,3920000,2510000,90.9,0,0,0,33000000,120000000000000,0,98700,458000000,0,0,4240000,11800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,975,3150,0,3560,2450,2840,864,191,0
I,W,W40X297,W1000X443,F,443,56300,1010,1010,0,0,0,401,403,0,0,0,23.6,23.8,12.7,41.9,41.3,0,0,0,71.9,74.6,42.9,0,0,0,0,0,4.8,0,0,36.8,0,0,9660000000,21800000,19200000,414,454000000,3520000,2260000,89.9,0,0,0,25500000,107000000000000,0,97400,409000000,0,0,3830000,10700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,970,3120,0,3530,2420,2820,864,191,0
I,W,W40X277,W1000X412,F,412,52600,1010,1010,0,0,0,401,403,0,0,0,21.1,20.6,11.1,40.1,39.7,0,0,0,70.1,73,41.3,0,0,0,0,0,5.03,0,0,41.2,0,0,9120000000,20500000,18000000,417,433000000,3340000,2160000,90.9,0,0,0,21400000,102000000000000,0,97400,391000000,0,0,3690000,10100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,968,3120,0,3530,2420,2820,864,191,0
I,W,W40X249,W1000X371,F,371,47400,1000,1000,0,0,0,401,400,0,0,0,19.1,19,9.52,36.1,36.5,0,0,0,66,68.3,39.7,0,0,0,0,0,5.55,0,0,45.6,0,0,8160000000,18400000,16300000,414,385000000,2980000,1930000,90.2,0,0,0,15900000,89700000000000,0,96800,350000000,0,0,3330000,9030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,965,3100,0,3510,2400,2790,864,191,0
