Steel Type,E,Fy,Fu
A36,29000,36,58
A53 Gr. B,29000,35,60
A500 Gr. B I,29000,42,58
A500 Gr. B II,29000,46,58
A500 Gr. C I,29000,46,62
A500 Gr. C II,29000,50,62
A501 Gr. A,29000,36,58
A501 Gr. B,29000,50,70
A529 Gr. 50,29000,50,65
A529 Gr. 55,29000,55,70
A709 36,29000,36,58
A1043 36,29000,36,58
A1043 50,29000,50,65
A1085 Gr. A,29000,50,65
A572 Gr. 42,29000,42,60
A572 Gr. 50,29000,50,65
A572 Gr. 55,29000,55,70
A572 Gr. 60,29000,60,75
A572 Gr. 65,29000,65,80
"A618 Gr. la, lb & ll",29000,50,70
A618 Gr. lll,29000,50,65
A709 50,29000,50,65
A709 50S,29000,50,65
A709 50W,29000,50,70
A913 50,29000,50,65
A913 60,29000,60,75
A913 65,29000,65,80
A913 70,29000,70,90
A992,29000,50,65
A1065 Gr. 50,29000,50,60
A588,29000,50,70
A847,29000,50,70
A1065 Gr. 50W,29000,50,70
